item_id,rater_id,evaluation
case_001,A,Exclude
case_001,B,Exclude
case_001,C,Exclude
case_001,LLM,Exclude
case_002,A,Exclude
case_002,B,Exclude
case_002,C,Exclude
case_002,LLM,Exclude
case_003,A,Include
case_003,B,Include
case_003,C,Include
case_003,LLM,Exclude
case_004,A,Include
case_004,B,Include
case_004,C,Include
case_004,LLM,Include
case_005,A,Exclude
case_005,B,Exclude
case_005,C,Exclude
case_005,LLM,Exclude
case_006,A,Include
case_006,B,Include
case_006,C,Include
case_006,LLM,Include
case_007,A,Exclude
case_007,B,Exclude
case_007,C,Exclude
case_007,LLM,Exclude
case_008,A,Include
case_008,B,Include
case_008,C,Include
case_008,LLM,Include
case_009,A,Include
case_009,B,Include
case_009,C,Include
case_009,LLM,Include
case_010,A,Include
case_010,B,Exclude
case_010,C,Exclude
case_010,LLM,Include
case_011,A,Exclude
case_011,B,Exclude
case_011,C,Exclude
case_011,LLM,Exclude
case_012,A,Exclude
case_012,B,Exclude
case_012,C,Exclude
case_012,LLM,Exclude
case_013,A,Exclude
case_013,B,Exclude
case_013,C,Exclude
case_013,LLM,Exclude
case_014,A,Exclude
case_014,B,Exclude
case_014,C,Exclude
case_014,LLM,Exclude
case_015,A,Exclude
case_015,B,Exclude
case_015,C,Exclude
case_015,LLM,Exclude
case_016,A,Exclude
case_016,B,Exclude
case_016,C,Exclude
case_016,LLM,Exclude
case_017,A,Exclude
case_017,B,Exclude
case_017,C,Exclude
case_017,LLM,Exclude
case_018,A,Exclude
case_018,B,Exclude
case_018,C,Exclude
case_018,LLM,Exclude
case_019,A,Exclude
case_019,B,Exclude
case_019,C,Exclude
case_019,LLM,Exclude
case_020,A,Include
case_020,B,Include
case_020,C,Include
case_020,LLM,Include
case_021,A,Include
case_021,B,Include
case_021,C,Exclude
case_021,LLM,Include
case_022,A,Exclude
case_022,B,Exclude
case_022,C,Exclude
case_022,LLM,Exclude
case_023,A,Exclude
case_023,B,Exclude
case_023,C,Exclude
case_023,LLM,Exclude
case_024,A,Exclude
case_024,B,Exclude
case_024,C,Exclude
case_024,LLM,Exclude
case_025,A,Include
case_025,B,Include
case_025,C,Include
case_025,LLM,Include
case_026,A,Exclude
case_026,B,Exclude
case_026,C,Exclude
case_026,LLM,Exclude
case_027,A,Exclude
case_027,B,Exclude
case_027,C,Exclude
case_027,LLM,Exclude
case_028,A,Exclude
case_028,B,Exclude
case_028,C,Exclude
case_028,LLM,Exclude
case_029,A,Include
